Joint,X,Y,Z,Visibility
0,0.4564144015312195,0.23497290909290314,-0.35007673501968384,0.9983270764350891
1,0.46402108669281006,0.21661347150802612,-0.306261271238327,0.9981719255447388
2,0.46907690167427063,0.21472078561782837,-0.3062383830547333,0.9973425269126892
3,0.473988801240921,0.21285927295684814,-0.30639493465423584,0.9977946281433105
4,0.44964903593063354,0.21884208917617798,-0.31114453077316284,0.998042106628418
5,0.4449107348918915,0.21850799024105072,-0.31119078397750854,0.9970471262931824
6,0.4403575658798218,0.21825361251831055,-0.31131184101104736,0.9976758360862732
7,0.47653767466545105,0.21398453414440155,-0.11280642449855804,0.998088538646698
8,0.4346463084220886,0.22181342542171478,-0.13356277346611023,0.9974938631057739
9,0.46825602650642395,0.24506177008152008,-0.2814604640007019,0.9969407320022583
10,0.4485459327697754,0.24667015671730042,-0.2879021167755127,0.9979164004325867
11,0.517714262008667,0.2908109724521637,-0.06356300413608551,0.9894752502441406
12,0.3967684805393219,0.297966331243515,-0.15648587048053741,0.9968340992927551
13,0.5616564154624939,0.18654879927635193,-0.16198401153087616,0.9857081770896912
14,0.34847068786621094,0.18784260749816895,-0.3398182988166809,0.9948850274085999
15,0.4793034493923187,0.08869609236717224,-0.22583267092704773,0.9578808546066284
16,0.4314391016960144,0.09203138947486877,-0.34206292033195496,0.9655076861381531
17,0.46997568011283875,0.05833590030670166,-0.2631894052028656,0.887264609336853
18,0.44571828842163086,0.06583517789840698,-0.3845823109149933,0.8907961845397949
19,0.4665372669696808,0.05983269214630127,-0.2494678497314453,0.8716368675231934
20,0.44570988416671753,0.06558746099472046,-0.3493458032608032,0.8737572431564331
21,0.4669129550457001,0.07258725166320801,-0.2281196266412735,0.8758792877197266
22,0.4433872103691101,0.0784682035446167,-0.33564019203186035,0.8738053441047668
23,0.5029661655426025,0.537224292755127,0.04668501392006874,0.9966737031936646
24,0.43509501218795776,0.5491994619369507,-0.04655386880040169,0.9977438449859619
25,0.6824291348457336,0.6226778030395508,-0.1980411261320114,0.9515264630317688
26,0.45041772723197937,0.7201440334320068,-0.18229663372039795,0.9632914662361145
27,0.5628606081008911,0.7118908166885376,0.17100176215171814,0.7970633506774902
28,0.4695459008216858,0.9112016558647156,0.03424663096666336,0.9657772779464722
29,0.5314822196960449,0.7116240859031677,0.20176827907562256,0.7768231630325317
30,0.47856923937797546,0.9132786989212036,0.04433403164148331,0.8384462594985962
31,0.5641708374023438,0.7851421236991882,0.07970155775547028,0.723059892654419
32,0.47516345977783203,0.9581279754638672,-0.1741211861371994,0.9024035334587097
