Joint,X,Y,Z,Visibility
0,0.44838687777519226,0.247286856174469,-0.2550073266029358,0.9266077876091003
1,0.455038845539093,0.23297196626663208,-0.22163034975528717,0.9560554027557373
2,0.45968693494796753,0.23300278186798096,-0.22170501947402954,0.9266995191574097
3,0.46474725008010864,0.23291337490081787,-0.221875861287117,0.9562541842460632
4,0.4418962001800537,0.2334699034690857,-0.22675396502017975,0.9612054228782654
5,0.4371383786201477,0.2342393398284912,-0.22679245471954346,0.9280156493186951
6,0.43244457244873047,0.23510891199111938,-0.22691021859645844,0.9421092867851257
7,0.4733571410179138,0.24129211902618408,-0.06452025473117828,0.9544403553009033
8,0.4263246953487396,0.24494972825050354,-0.08205809444189072,0.9468846321105957
9,0.4565626084804535,0.2659285366535187,-0.1989859789609909,0.9212223887443542
10,0.44025033712387085,0.2641967236995697,-0.20441651344299316,0.9519543051719666
11,0.4932306408882141,0.3467344641685486,-0.02492343820631504,0.45037025213241577
12,0.4042254686355591,0.33539384603500366,-0.04970106482505798,0.6135243773460388
13,0.49955880641937256,0.3501494824886322,-0.12381047755479813,0.39063435792922974
14,0.39067167043685913,0.31525731086730957,-0.1722569316625595,0.5785253047943115
15,0.4914490878582001,0.31895911693573,-0.23262816667556763,0.05391616374254227
16,0.41808295249938965,0.20804736018180847,-0.23983249068260193,0.18808917701244354
17,0.4929474890232086,0.31182408332824707,-0.2650640904903412,0.04707733169198036
18,0.425254225730896,0.18149307370185852,-0.26633748412132263,0.17928443849086761
19,0.490040123462677,0.31272822618484497,-0.2634930908679962,0.04489468038082123
20,0.422269731760025,0.18370932340621948,-0.25363484025001526,0.150812566280365
21,0.4880683422088623,0.31640344858169556,-0.23773351311683655,0.05760350078344345
22,0.4221319854259491,0.19424569606781006,-0.23895832896232605,0.14312957227230072
23,0.49354833364486694,0.5513924956321716,0.024685297161340714,0.9911371469497681
24,0.43363267183303833,0.5637190341949463,-0.02464776113629341,0.9971638321876526
25,0.610850989818573,0.6722044944763184,-0.1071537435054779,0.9114610552787781
26,0.4429112672805786,0.6947013139724731,-0.19231601059436798,0.9555559754371643
27,0.49849385023117065,0.6537026762962341,0.26685819029808044,0.07437753677368164
28,0.4554924964904785,0.7655060887336731,0.1331944614648819,0.23672735691070557
29,0.48340269923210144,0.6361300945281982,0.30783265829086304,0.13536852598190308
30,0.4561190903186798,0.7629109621047974,0.16674594581127167,0.28145310282707214
31,0.47073566913604736,0.6862884759902954,0.29044920206069946,0.085201695561409
32,0.4603957235813141,0.8159759044647217,0.11098546534776688,0.22087997198104858
