Joint,X,Y,Z,Visibility
0,0.40946173667907715,0.09064936637878418,-0.5281583070755005,0.9985938668251038
1,0.4256058633327484,0.07256892323493958,-0.4743996560573578,0.9984997510910034
2,0.4352080821990967,0.07252249121665955,-0.4744575023651123,0.9975191354751587
3,0.4434433877468109,0.07289856672286987,-0.4746362268924713,0.9978799819946289
4,0.3956703543663025,0.07319924235343933,-0.4894339144229889,0.9992256164550781
5,0.3858334720134735,0.07374200224876404,-0.489444375038147,0.9988007545471191
6,0.37669843435287476,0.074655681848526,-0.48967695236206055,0.999052107334137
7,0.4591509997844696,0.08094394207000732,-0.1487208753824234,0.9974457025527954
8,0.3658475875854492,0.08528035879135132,-0.20883814990520477,0.9992419481277466
9,0.4277890622615814,0.11270666122436523,-0.4037322998046875,0.999583899974823
10,0.3926272690296173,0.11312040686607361,-0.42108601331710815,0.9998904466629028
11,0.5373212695121765,0.18475309014320374,0.07596569508314133,0.9987051486968994
12,0.2886531352996826,0.19684408605098724,-0.13383343815803528,0.9998900890350342
13,0.6210785508155823,0.3131831884384155,-0.18895377218723297,0.9469603896141052
14,0.19483163952827454,0.3231413662433624,-0.4195270538330078,0.9772112369537354
15,0.46644821763038635,0.2878967523574829,-0.7778485417366028,0.8539093136787415
16,0.36643311381340027,0.29461920261383057,-0.7854301333427429,0.9324195981025696
17,0.44078928232192993,0.2734953463077545,-0.8850568532943726,0.7348006963729858
18,0.3980385959148407,0.28027597069740295,-0.8687818050384521,0.84017014503479
19,0.44460687041282654,0.25589650869369507,-0.8559545278549194,0.7056319713592529
20,0.3994952142238617,0.25646889209747314,-0.8439433574676514,0.8121366500854492
21,0.4484439790248871,0.2598450779914856,-0.7784854769706726,0.650259792804718
22,0.38827013969421387,0.25995296239852905,-0.7751259803771973,0.7508339285850525
23,0.5219800472259521,0.45453888177871704,0.130440354347229,0.9963962435722351
24,0.37897413969039917,0.4759904146194458,-0.1306617110967636,0.9989675283432007
25,0.763005256652832,0.5462186932563782,-0.17011965811252594,0.91329425573349
26,0.4318912923336029,0.6977890729904175,-0.19302383065223694,0.9682368040084839
27,0.4993880093097687,0.5146934390068054,0.4370557367801666,0.29668575525283813
28,0.4452001750469208,0.9043659567832947,0.1480526477098465,0.9276314377784729
29,0.4504438042640686,0.4900301694869995,0.4978063404560089,0.3077888786792755
30,0.4508616030216217,0.933627724647522,0.17151959240436554,0.783286452293396
31,0.44526851177215576,0.5605866312980652,0.4058457612991333,0.3285207152366638
32,0.4436745345592499,0.9776746034622192,-0.10882516950368881,0.8731473684310913
